"user_id","average_completion"
"user_8","100.00"
"user_14","100.00"
"user_6","99.19"
"user_9","98.97"
"user_11","98.50"
"user_45","98.47"
"user_46","98.22"
"user_44","97.62"
"user_18","97.15"
"user_39","97.14"
"user_34","97.02"
"user_32","97.00"
"user_41","96.37"
"user_35","96.29"
"user_15","95.93"
"user_17","95.86"
"user_30","95.60"
"user_7","95.44"
"user_22","95.03"
"user_31","94.85"
"user_29","94.79"
"user_1","94.72"
"user_19","94.71"
"user_28","94.48"
"user_37","94.32"
"user_38","93.70"
"user_12","93.67"
"user_26","93.28"
"user_42","93.25"
"user_43","93.06"
"user_25","92.49"
"user_24","92.21"
"user_50","91.80"
"user_33","91.56"
"user_10","90.94"
"user_16","90.77"
"user_13","90.51"
"user_4","89.93"
"user_20","89.45"
"user_27","89.40"
"user_49","89.13"
"user_48","88.91"
"user_47","87.56"
"user_36","87.06"
"user_5","87.00"
"user_23","82.42"
"user_21","81.58"
"user_40","80.12"
