"course_title","question_set","practise","learning_type","project","exam"
"My Past & Future","0","0","11","0","3"
"Test Based Learning","0","0","20","0","18"
"Instruction Flows","0","0","21","0","8"
"Introduction","0","0","18","0","0"
"Node JS","12","0","32","0","3"
"Logical Reasoning","0","0","6","0","0"
"My Daily routine","0","0","11","0","4"
"About Me","0","0","9","0","10"
"Setting Priorities","0","0","7","0","15"
"Verbal Ability","0","0","0","0","3"
"CCBP 4.0 Introduction","0","0","9","0","0"
"Fundamentals of ML","7","0","115","4","52"
"Practical Python","3","0","24","0","7"
"Test Your Knowledge","3","0","0","0","8"
"My Family","0","0","9","0","4"
"Srividya Pranavi","0","0","1","0","0"
"Self - talk","0","0","21","0","0"
"Developer Foundations","0","0","14","0","0"
"Data Structures","66","0","106","0","5"
"MASTERCLASS SERIES","0","0","1","0","0"
"Input - Output","0","0","8","0","0"
