"user_id","number_of_units_completed"
"user_5","399"
"user_4","135"
"user_16","113"
"user_49","103"
"user_37","98"
"user_19","95"
"user_18","92"
"user_35","89"
"user_11","85"
"user_25","81"
"user_22","80"
"user_39","69"
"user_34","67"
"user_6","64"
"user_28","63"
"user_30","63"
"user_47","61"
"user_13","61"
"user_50","57"
"user_10","56"
"user_17","55"
"user_27","54"
"user_29","53"
"user_41","52"
"user_44","52"
"user_43","50"
"user_7","50"
"user_40","48"
"user_24","46"
"user_42","45"
"user_31","44"
"user_45","42"
"user_9","38"
"user_46","38"
"user_26","33"
"user_21","28"
"user_15","26"
"user_20","23"
"user_36","22"
"user_33","17"
"user_14","16"
"user_38","16"
"user_23","16"
"user_32","16"
"user_12","14"
"user_1","14"
"user_48","10"
"user_8","1"
